timestamp,ghi
2015-01-20 00:00:00,0.148
2015-01-20 00:00:30,0.146
2015-01-20 00:01:00,0.145
2015-01-20 00:01:30,0.143
2015-01-20 00:02:00,0.141
2015-01-20 00:02:30,0.14
2015-01-20 00:03:00,0.138
2015-01-20 00:03:30,0.137
2015-01-20 00:04:00,0.135
2015-01-20 00:04:30,0.134
2015-01-20 00:05:00,0.133
2015-01-20 00:05:30,0.131
2015-01-20 00:06:00,0.129
2015-01-20 00:06:30,0.128
2015-01-20 00:07:00,0.126
2015-01-20 00:07:30,0.125
2015-01-20 00:08:00,0.123
2015-01-20 00:08:30,0.121
2015-01-20 00:09:00,0.119
2015-01-20 00:09:30,0.117
2015-01-20 00:10:00,0.116
2015-01-20 00:10:30,0.115
2015-01-20 00:11:00,0.113
2015-01-20 00:11:30,0.112
2015-01-20 00:12:00,0.111
2015-01-20 00:12:30,0.109
2015-01-20 00:13:00,0.107
2015-01-20 00:13:30,0.106
2015-01-20 00:14:00,0.105
2015-01-20 00:14:30,0.104
2015-01-20 00:15:00,0.103
2015-01-20 00:15:30,0.102
2015-01-20 00:16:00,0.101
2015-01-20 00:16:30,0.099
2015-01-20 00:17:00,0.098
2015-01-20 00:17:30,0.096
2015-01-20 00:18:00,0.095
2015-01-20 00:18:30,0.093
2015-01-20 00:19:00,0.092
2015-01-20 00:19:30,0.09
2015-01-20 00:20:00,0.089
2015-01-20 00:20:30,0.088
2015-01-20 00:21:00,0.087
2015-01-20 00:21:30,0.085
2015-01-20 00:22:00,0.083
2015-01-20 00:22:30,0.081
2015-01-20 00:23:00,0.081
2015-01-20 00:23:30,0.08
2015-01-20 00:24:00,0.079
2015-01-20 00:24:30,0.078
2015-01-20 00:25:00,0.077
2015-01-20 00:25:30,0.076
2015-01-20 00:26:00,0.074
2015-01-20 00:26:30,0.072
2015-01-20 00:27:00,0.072
2015-01-20 00:27:30,0.07
2015-01-20 00:28:00,0.069
2015-01-20 00:28:30,0.068
2015-01-20 00:29:00,0.067
2015-01-20 00:29:30,0.066
2015-01-20 00:30:00,0.064
2015-01-20 00:30:30,0.063
2015-01-20 00:31:00,0.061
2015-01-20 00:31:30,0.06
2015-01-20 00:32:00,0.059
2015-01-20 00:32:30,0.058
2015-01-20 00:33:00,0.056
2015-01-20 00:33:30,0.055
2015-01-20 00:34:00,0.053
2015-01-20 00:34:30,0.052
2015-01-20 00:35:00,0.051
2015-01-20 00:35:30,0.05
2015-01-20 00:36:00,0.049
2015-01-20 00:36:30,0.048
2015-01-20 00:37:00,0.047
2015-01-20 00:37:30,0.046
2015-01-20 00:38:00,0.045
2015-01-20 00:38:30,0.044
2015-01-20 00:39:00,0.042
2015-01-20 00:39:30,0.041
2015-01-20 00:40:00,0.04
2015-01-20 00:40:30,0.039
2015-01-20 00:41:00,0.038
2015-01-20 00:41:30,0.037
2015-01-20 00:42:00,0.036
2015-01-20 00:42:30,0.035
2015-01-20 00:43:00,0.034
2015-01-20 00:43:30,0.033
2015-01-20 00:44:00,0.032
2015-01-20 00:44:30,0.031
2015-01-20 00:45:00,0.03
2015-01-20 00:45:30,0.029
2015-01-20 00:46:00,0.028
2015-01-20 00:46:30,0.027
2015-01-20 00:47:00,0.026
2015-01-20 00:47:30,0.025
2015-01-20 00:48:00,0.024
2015-01-20 00:48:30,0.023
2015-01-20 00:49:00,0.022
2015-01-20 00:49:30,0.021
2015-01-20 00:50:00,0.02
2015-01-20 00:50:30,0.019
2015-01-20 00:51:00,0.019
2015-01-20 00:51:30,0.018
2015-01-20 00:52:00,0.017
2015-01-20 00:52:30,0.016
2015-01-20 00:53:00,0.015
2015-01-20 00:53:30,0.014
2015-01-20 00:54:00,0.013
2015-01-20 00:54:30,0.012
2015-01-20 00:55:00,0.011
2015-01-20 00:55:30,0.01
2015-01-20 00:56:00,0.01
